기간	자치구	성별	합계	한국계 중국인	중국(한국계 중국인 제외)	미국	타이완	일본	베트남	몽골	필리핀	캐나다	인도	우즈베키스탄	영국	프랑스	타이	러시아	독일	오스트레일리아	네팔	파키스탄	인도네시아	나이지리아	말레이시아	방글라데시	캄 보 디 아	사우디아라비아	홍       콩	뉴질랜드	카자흐스탄	스 리 랑 카	남아프리카 공화국	미  얀  마	싱 가 포 르	이       란	브  라  질	아 일 랜 드	스  웨  덴	이 탈 리 아	터       키	네 덜 란 드	키르기스스탄	멕  시  코	스  페  인	우크라이나	스  위  스	핀  란  드	가       나	벨  기  에	폴  란  드	이  집  트	오스트리아	수       단	아르헨티나	오       만	이 스 라 엘	페       루	덴  마  크	모  로  코	이  라  크	기       타
2018.3/4	강동구	남자	2,030	1,186	217	63	23	17	96	59	16	22	21	28	14	1	8	9	-	7	2	23	3	1	6	11	88	1	-	3	6	28	1	39	2	2	1	-	2	1	2	1	-	2	-	-	-	1	2	-	1	1	-	-	-	-	-	3	-	2	-	8
2018.3/4	강동구	여자	2,257	1,070	441	63	28	125	232	81	58	14	6	14	2	1	26	13	-	2	2	16	6	-	4	1	10	-	4	-	7	1	6	-	-	3	-	-	1	3	-	-	7	-	1	-	-	-	-	-	-	-	-	-	1	-	-	2	-	2	-	4
2018.4/4	합계	계	283,984	124,250	65,810	9,294	8,956	8,618	16,555	6,119	3,511	1,522	2,166	2,673	1,536	2,283	1,637	2,024	1,468	711	1,189	1,306	1,305	620	1,931	672	1,082	676	1,267	232	1,140	336	338	1,033	473	412	296	224	306	478	468	358	347	255	362	338	141	121	206	197	153	684	137	85	46	20	98	130	109	354	128	4,798
2018.4/4	합계	남자	136,950	70,123	23,338	5,072	4,006	2,574	6,126	2,407	940	989	1,428	1,548	988	1,198	461	732	768	432	797	974	489	473	1,111	477	573	395	262	175	392	250	192	770	186	217	153	150	162	258	242	212	109	124	195	141	85	49	162	113	45	584	78	54	26	9	47	52	54	216	75	2,692
2018.4/4	합계	여자	147,034	54,127	42,472	4,222	4,950	6,044	10,429	3,712	2,571	533	738	1,125	548	1,085	1,176	1,292	700	279	392	332	816	147	820	195	509	281	1,005	57	748	86	146	263	287	195	143	74	144	220	226	146	238	131	167	197	56	72	44	84	108	100	59	31	20	11	51	78	55	138	53	2,106
2018.4/4	종로구	계	9,961	1,834	3,717	266	259	290	1,535	89	104	26	61	53	62	115	29	60	67	99	439	24	45	4	28	12	16	38	49	6	25	10	3	16	34	15	36	14	10	21	10	14	12	8	19	5	13	5	4	11	6	9	19	5	-	8	28	3	7	5	2	257
2018.4/4	종로구	남자	4,331	881	1,202	165	102	118	777	37	33	16	44	25	43	62	10	23	24	52	297	18	12	2	12	6	9	18	7	5	6	6	1	9	19	9	21	11	4	16	2	6	6	4	9	3	9	1	4	7	1	4	10	3	-	4	16	1	1	3	-	135
2018.4/4	종로구	여자	5,630	953	2,515	101	157	172	758	52	71	10	17	28	19	53	19	37	43	47	142	6	33	2	16	6	7	20	42	1	19	4	2	7	15	6	15	3	6	5	8	8	6	4	10	2	4	4	-	4	5	5	9	2	-	4	12	2	6	2	2	122
2018.4/4	중구	계	9,908	2,096	2,651	268	605	261	1,112	284	91	56	118	554	74	61	29	376	100	24	20	53	28	2	25	8	13	27	35	13	182	31	3	17	46	7	11	5	12	25	10	16	42	13	18	35	7	2	8	11	5	11	3	1	1	3	10	9	8	8	-	364
2018.4/4	중구	남자	4,727	1,095	1,034	173	312	133	519	112	21	30	69	254	41	31	3	198	51	15	12	40	11	1	11	4	5	16	16	9	88	22	1	11	15	5	8	4	7	17	3	11	21	5	15	23	5	-	7	8	1	7	2	1	-	2	4	4	5	5	-	204
2018.4/4	중구	여자	5,181	1,001	1,617	95	293	128	593	172	70	26	49	300	33	30	26	178	49	9	8	13	17	1	14	4	8	11	19	4	94	9	2	6	31	2	3	1	5	8	7	5	21	8	3	12	2	2	1	3	4	4	1	-	1	1	6	5	3	3	-	160
2018.4/4	용산구	계	16,091	1,314	742	2,586	368	1,384	286	165	633	242	402	118	327	330	204	226	393	138	34	367	85	519	982	130	74	212	44	43	94	37	120	50	58	50	46	43	71	102	106	50	60	34	71	67	32	10	120	41	16	415	17	63	13	1	23	39	24	170	81	1,619
2018.4/4	용산구	남자	9,126	654	259	1,484	176	711	87	68	148	161	266	45	202	201	89	75	229	83	22	264	19	393	752	81	29	119	25	30	42	18	74	19	22	34	23	23	41	62	73	32	17	16	37	29	14	6	97	21	5	391	11	42	9	-	11	18	11	126	48	1,082
2018.4/4	용산구	여자	6,965	660	483	1,102	192	673	199	97	485	81	136	73	125	129	115	151	164	55	12	103	66	126	230	49	45	93	19	13	52	19	46	31	36	16	23	20	30	40	33	18	43	18	34	38	18	4	23	20	11	24	6	21	4	1	12	21	13	44	33	537
2018.4/4	성동구	계	8,242	2,606	2,558	250	169	193	668	301	197	47	90	72	30	40	57	32	68	17	50	127	67	6	71	41	26	7	34	5	9	23	11	53	30	8	9	2	18	17	17	11	11	10	21	7	7	5	17	5	3	4	3	-	1	2	-	1	4	2	1	101
2018.4/4	성동구	남자	3,732	1,319	898	141	73	33	232	128	110	38	56	55	17	25	20	13	44	11	46	87	48	4	42	36	11	4	9	5	1	22	4	45	12	5	6	1	11	9	4	6	1	6	9	-	4	1	13	4	2	3	2	-	-	-	-	-	3	1	1	51
2018.4/4	성동구	여자	4,510	1,287	1,660	109	96	160	436	173	87	9	34	17	13	15	37	19	24	6	4	40	19	2	29	5	15	3	25	-	8	1	7	8	18	3	3	1	7	8	13	5	10	4	12	7	3	4	4	1	1	1	1	-	1	2	-	1	1	1	-	50
2018.4/4	광진구	계	15,504	6,465	4,826	160	162	328	1,115	658	106	42	177	351	33	43	44	50	33	8	85	146	60	2	107	45	18	3	31	3	76	8	4	23	12	33	6	4	6	14	10	20	10	9	10	5	3	8	3	-	3	6	6	-	5	-	2	-	1	9	-	107
2018.4/4	광진구	남자	6,733	3,324	1,603	88	52	46	364	283	23	23	117	282	22	21	8	13	13	7	49	117	21	2	38	34	4	1	3	2	25	7	2	7	3	18	-	2	3	7	3	7	3	4	3	3	3	5	2	-	1	3	5	-	1	-	1	-	1	4	-	50
2018.4/4	광진구	여자	8,771	3,141	3,223	72	110	282	751	375	83	19	60	69	11	22	36	37	20	1	36	29	39	-	69	11	14	2	28	1	51	1	2	16	9	15	6	2	3	7	7	13	7	5	7	2	-	3	1	-	2	3	1	-	4	-	1	-	-	5	-	57
2018.4/4	동대문구	계	16,286	2,786	6,831	212	384	447	2,104	722	223	45	99	274	52	85	71	111	92	19	76	34	102	9	87	62	52	36	198	2	82	24	8	48	21	47	20	8	63	28	31	15	35	25	31	18	4	14	4	4	24	27	7	4	2	-	3	5	4	16	27	422
2018.4/4	동대문구	남자	6,207	1,368	2,051	104	116	66	1,021	268	80	32	67	189	28	28	9	35	34	12	51	30	34	9	14	41	19	29	29	1	24	17	5	20	5	16	7	5	22	3	8	9	9	9	10	6	3	1	4	2	6	14	2	2	2	-	-	1	4	2	16	208
2018.4/4	동대문구	여자	10,079	1,418	4,780	108	268	381	1,083	454	143	13	32	85	24	57	62	76	58	7	25	4	68	-	73	21	33	7	169	1	58	7	3	28	16	31	13	3	41	25	23	6	26	16	21	12	1	13	-	2	18	13	5	2	-	-	3	4	-	14	11	214
2018.4/4	중랑구	계	4,938	1,792	706	64	79	149	627	992	125	21	11	60	18	4	49	26	3	6	22	6	8	2	4	32	26	7	7	-	6	1	5	8	1	5	2	3	3	3	6	1	11	2	2	2	4	-	-	1	1	2	-	-	-	-	-	2	1	2	-	18
2018.4/4	중랑구	남자	2,029	886	238	36	33	20	188	428	22	14	8	17	11	1	-	3	2	5	16	6	1	2	3	29	-	3	-	-	3	1	3	6	1	5	-	3	2	1	4	1	6	1	2	-	3	-	-	-	-	1	-	-	-	-	-	2	-	2	-	10
2018.4/4	중랑구	여자	2,909	906	468	28	46	129	439	564	103	7	3	43	7	3	49	23	1	1	6	-	7	-	1	3	26	4	7	-	3	-	2	2	-	-	2	-	1	2	2	-	5	1	-	2	1	-	-	1	1	1	-	-	-	-	-	-	1	-	-	8
2018.4/4	성북구	계	11,819	1,164	5,030	352	298	352	1,186	870	250	54	167	220	72	52	56	104	93	28	70	91	109	14	81	101	33	60	67	9	132	18	16	24	22	17	9	18	8	18	17	26	14	23	15	20	6	8	10	9	5	27	10	1	-	3	-	19	14	8	6	313
2018.4/4	성북구	남자	4,591	553	1,662	176	113	56	431	336	65	37	108	158	43	29	11	28	47	14	42	66	38	10	34	63	12	45	10	8	36	10	12	9	9	13	2	12	4	6	7	19	3	7	6	12	3	3	7	5	-	16	7	-	-	3	-	5	5	3	4	168
2018.4/4	성북구	여자	7,228	611	3,368	176	185	296	755	534	185	17	59	62	29	23	45	76	46	14	28	25	71	4	47	38	21	15	57	1	96	8	4	15	13	4	7	6	4	12	10	7	11	16	9	8	3	5	3	4	5	11	3	1	-	-	-	14	9	5	2	145
2018.4/4	강북구	계	3,751	1,213	849	83	107	109	471	358	101	18	8	77	13	12	39	27	5	6	24	24	9	-	6	9	19	8	14	5	20	-	6	4	-	7	2	6	1	2	6	2	7	2	8	3	1	1	2	2	4	1	-	1	2	-	1	-	-	2	-	44
2018.4/4	강북구	남자	1,451	596	265	52	42	13	118	127	18	14	7	48	8	7	3	9	2	4	12	20	3	-	2	6	1	7	1	5	4	-	3	3	-	6	-	6	1	-	3	1	1	-	6	-	1	-	1	1	2	1	-	-	1	-	1	-	-	-	-	19
2018.4/4	강북구	여자	2,300	617	584	31	65	96	353	231	83	4	1	29	5	5	36	18	3	2	12	4	6	-	4	3	18	1	13	-	16	-	3	1	-	1	2	-	-	2	3	1	6	2	2	3	-	1	1	1	2	-	-	1	1	-	-	-	-	2	-	25
2018.4/4	도봉구	계	2,236	468	445	67	42	106	379	161	171	22	2	35	11	10	39	7	5	5	35	31	10	4	6	7	47	-	9	2	5	1	8	37	2	2	1	2	-	2	-	1	3	3	2	-	-	-	-	1	-	-	1	-	3	1	1	4	-	2	-	28
2018.4/4	도봉구	남자	883	223	124	35	23	21	105	54	50	15	2	12	8	8	21	3	2	4	28	28	5	4	1	6	33	-	1	1	-	-	5	36	-	1	1	1	-	2	-	-	-	-	-	-	-	-	-	1	-	-	-	-	2	-	-	1	-	-	-	16
2018.4/4	도봉구	여자	1,353	245	321	32	19	85	274	107	121	7	-	23	3	2	18	4	3	1	7	3	5	-	5	1	14	-	8	1	5	1	3	1	2	1	-	1	-	-	-	1	3	3	2	-	-	-	-	-	-	-	1	-	1	1	1	3	-	2	-	12
2018.4/4	노원구	계	4,408	610	1,076	181	118	233	1,020	353	88	47	53	126	19	25	22	39	22	5	17	19	27	5	2	18	29	3	14	6	29	2	10	33	2	19	13	7	1	2	8	4	6	3	3	5	-	6	1	2	1	8	3	1	-	-	-	2	-	4	-	56
2018.4/4	노원구	남자	1,951	284	443	94	33	18	526	140	18	37	35	82	13	13	7	9	16	5	11	9	14	5	-	11	11	3	3	4	9	1	3	6	-	2	5	7	1	2	4	4	2	3	3	3	-	6	1	1	-	4	2	1	-	-	-	1	-	2	-	34
2018.4/4	노원구	여자	2,457	326	633	87	85	215	494	213	70	10	18	44	6	12	15	30	6	-	6	10	13	-	2	7	18	-	11	2	20	1	7	27	2	17	8	-	-	-	4	-	4	-	-	2	-	-	-	1	1	4	1	-	-	-	-	1	-	2	-	22
2018.4/4	은평구	계	4,469	1,263	839	139	546	392	476	56	109	34	27	58	32	27	62	31	12	9	11	12	24	7	23	7	55	4	39	9	10	6	12	31	4	5	1	3	3	4	1	3	9	4	6	4	2	1	2	2	2	10	1	-	-	-	-	1	2	5	1	31
2018.4/4	은평구	남자	1,898	612	302	92	285	118	109	19	20	26	18	25	26	15	5	10	8	6	8	12	7	7	5	7	25	2	16	7	4	6	8	28	3	4	1	1	-	2	-	1	1	4	5	1	2	-	1	1	-	8	1	-	-	-	-	-	1	2	-	21
2018.4/4	은평구	여자	2,571	651	537	47	261	274	367	37	89	8	9	33	6	12	57	21	4	3	3	-	17	-	18	-	30	2	23	2	6	-	4	3	1	1	-	2	3	2	1	2	8	-	1	3	-	1	1	1	2	2	-	-	-	-	-	1	1	3	1	10
2018.4/4	서대문구	계	12,767	893	4,343	708	2,420	655	796	139	129	111	142	71	146	187	163	104	137	63	32	21	93	2	123	10	52	27	266	25	57	10	12	34	58	34	21	9	27	38	19	44	21	15	39	15	13	21	5	26	15	9	16	4	3	-	9	7	10	19	-	299
2018.4/4	서대문구	남자	4,247	421	1,047	306	1,142	97	200	36	29	56	88	38	74	67	15	19	65	29	17	17	16	2	25	5	15	15	45	15	20	6	6	13	17	16	5	6	15	15	8	19	4	8	23	2	7	9	3	11	3	4	4	2	2	-	5	2	5	5	-	101
2018.4/4	서대문구	여자	8,520	472	3,296	402	1,278	558	596	103	100	55	54	33	72	120	148	85	72	34	15	4	77	-	98	5	37	12	221	10	37	4	6	21	41	18	16	3	12	23	11	25	17	7	16	13	6	12	2	15	12	5	12	2	1	-	4	5	5	14	-	198
2018.4/4	마포구	계	11,282	1,327	3,423	1,069	1,445	968	432	46	93	103	109	36	123	286	131	104	120	64	54	35	99	3	83	25	34	39	235	20	21	14	11	14	49	28	15	22	29	52	22	42	10	21	31	9	16	10	3	19	12	63	11	-	4	-	3	7	11	40	1	186
2018.4/4	마포구	남자	4,333	651	914	477	633	365	125	16	23	63	73	22	89	107	36	31	58	37	31	23	20	2	29	14	10	21	49	14	3	12	7	1	22	13	9	16	17	24	10	23	2	13	12	5	10	3	2	7	4	61	4	-	4	-	1	2	4	33	1	75
2018.4/4	마포구	여자	6,949	676	2,509	592	812	603	307	30	70	40	36	14	34	179	95	73	62	27	23	12	79	1	54	11	24	18	186	6	18	2	4	13	27	15	6	6	12	28	12	19	8	8	19	4	6	7	1	12	8	2	7	-	-	-	2	5	7	7	-	111
2018.4/4	양천구	계	3,960	1,905	700	113	204	117	285	56	124	39	14	35	25	6	26	52	3	8	4	14	9	1	8	8	30	-	8	1	66	17	2	23	1	2	4	3	3	-	2	1	5	4	2	3	-	-	-	-	1	1	1	-	-	-	-	2	1	3	-	18
2018.4/4	양천구	남자	1,823	1,045	270	59	107	11	53	17	30	23	6	12	17	6	2	27	1	6	3	12	6	1	3	5	11	-	2	-	17	17	1	22	-	1	3	2	2	-	1	1	4	2	-	1	-	-	-	-	-	1	-	-	-	-	-	1	1	2	-	9
2018.4/4	양천구	여자	2,137	860	430	54	97	106	232	39	94	16	8	23	8	-	24	25	2	2	1	2	3	-	5	3	19	-	6	1	49	-	1	1	1	1	1	1	1	-	1	-	1	2	2	2	-	-	-	-	1	-	1	-	-	-	-	1	-	1	-	9
2018.4/4	강서구	계	6,662	2,774	1,154	212	318	317	373	84	142	76	91	77	64	29	68	107	23	36	15	16	73	4	58	20	77	-	15	22	25	3	19	67	8	4	35	11	4	26	4	15	5	21	10	2	5	3	2	13	9	6	14	-	2	-	-	3	2	1	-	98
2018.4/4	강서구	남자	3,210	1,405	398	134	162	64	93	27	34	66	52	33	52	20	35	55	16	32	11	13	40	4	49	16	55	-	2	20	9	3	13	61	5	4	30	9	4	23	1	14	-	19	9	-	5	1	2	12	5	5	13	-	2	-	-	2	1	-	-	70
2018.4/4	강서구	여자	3,452	1,369	756	78	156	253	280	57	108	10	39	44	12	9	33	52	7	4	4	3	33	-	9	4	22	-	13	2	16	-	6	6	3	-	5	2	-	3	3	1	5	2	1	2	-	2	-	1	4	1	1	-	-	-	-	1	1	1	-	28
2018.4/4	구로구	계	33,989	25,834	6,114	84	181	206	489	81	103	28	37	74	27	16	49	76	7	7	10	47	32	5	49	31	51	-	17	1	83	20	4	102	3	2	6	2	3	7	5	3	10	2	4	8	1	1	-	2	5	5	2	-	1	-	1	-	1	2	1	47
2018.4/4	구로구	남자	19,532	15,941	2,624	54	85	50	176	36	38	21	27	49	20	7	7	35	7	6	6	40	16	4	27	28	28	-	4	1	36	20	3	74	2	2	3	1	2	4	4	2	4	1	1	2	1	1	-	1	2	5	1	-	-	-	-	-	-	-	-	23
2018.4/4	구로구	여자	14,457	9,893	3,490	30	96	156	313	45	65	7	10	25	7	9	42	41	-	1	4	7	16	1	22	3	23	-	13	-	47	-	1	28	1	-	3	1	1	3	1	1	6	1	3	6	-	-	-	1	3	-	1	-	1	-	1	-	1	2	1	24
2018.4/4	금천구	계	20,104	15,767	2,906	29	67	93	412	96	131	10	16	39	6	9	49	69	7	5	48	23	31	2	4	20	58	-	12	-	53	14	-	59	-	4	2	-	-	1	4	-	20	2	1	3	-	-	1	-	1	5	1	-	-	-	-	2	-	2	1	19
2018.4/4	금천구	남자	11,483	9,560	1,240	19	31	14	139	53	57	6	11	23	5	6	27	33	5	3	34	17	24	1	2	17	32	-	2	-	18	11	-	59	-	2	1	-	-	-	2	-	11	2	1	-	-	-	-	-	1	3	1	-	-	-	-	1	-	1	1	7
2018.4/4	금천구	여자	8,621	6,207	1,666	10	36	79	273	43	74	4	5	16	1	3	22	36	2	2	14	6	7	1	2	3	26	-	10	-	35	3	-	-	-	2	1	-	-	1	2	-	9	-	-	3	-	-	1	-	-	2	-	-	-	-	-	1	-	1	-	12
2018.4/4	영등포구	계	35,822	27,991	5,590	201	377	225	291	39	76	39	34	20	26	31	72	56	20	12	51	25	173	1	7	13	80	2	41	6	24	13	7	137	4	1	5	11	5	12	5	4	6	3	5	4	3	2	-	2	4	9	3	-	-	-	-	-	1	5	-	48
2018.4/4	영등포구	남자	20,095	16,557	2,456	110	179	40	93	18	17	24	26	6	21	19	33	12	14	7	37	23	86	1	3	13	67	-	6	5	8	13	5	125	1	1	1	5	-	8	4	3	3	1	3	1	3	-	-	2	-	7	2	-	-	-	-	-	1	4	-	21
2018.4/4	영등포구	여자	15,727	11,434	3,134	91	198	185	198	21	59	15	8	14	5	12	39	44	6	5	14	2	87	-	4	-	13	2	35	1	16	-	2	12	3	-	4	6	5	4	1	1	3	2	2	3	-	2	-	-	4	2	1	-	-	-	-	-	-	1	-	27
2018.4/4	동작구	계	13,182	6,004	4,529	178	162	165	924	95	61	26	41	47	31	115	63	52	37	5	10	57	28	7	20	13	38	1	19	8	21	26	4	20	15	11	10	8	1	8	20	16	14	7	18	9	2	5	8	4	4	9	1	1	1	-	1	6	-	5	5	186
2018.4/4	동작구	남자	5,925	3,217	1,626	101	56	27	292	29	7	16	31	27	23	76	21	10	16	2	7	40	8	6	6	9	16	-	5	6	2	11	2	12	6	6	5	7	1	4	8	7	7	3	14	4	-	3	7	2	1	7	-	1	-	-	-	3	-	-	3	119
2018.4/4	동작구	여자	7,257	2,787	2,903	77	106	138	632	66	54	10	10	20	8	39	42	42	21	3	3	17	20	1	14	4	22	1	14	2	19	15	2	8	9	5	5	1	-	4	12	9	7	4	4	5	2	2	1	2	3	2	1	-	1	-	1	3	-	5	2	67
2018.4/4	관악구	계	18,083	10,833	3,265	271	160	332	691	172	112	75	168	110	84	111	115	120	91	29	39	47	114	15	99	34	69	2	53	2	58	15	12	59	34	74	15	9	17	27	37	29	16	21	17	19	8	4	13	8	16	21	7	3	1	2	9	5	11	15	1	287
2018.4/4	관악구	남자	8,582	5,849	1,158	148	38	57	204	56	15	53	103	54	55	57	36	24	44	17	27	35	41	7	27	25	46	1	10	2	15	10	8	35	12	37	10	8	8	15	8	14	2	5	7	6	6	1	9	3	4	12	2	1	-	-	3	2	6	3	-	141
2018.4/4	관악구	여자	9,501	4,984	2,107	123	122	275	487	116	97	22	65	56	29	54	79	96	47	12	12	12	73	8	72	9	23	1	43	-	43	5	4	24	22	37	5	1	9	12	29	15	14	16	10	13	2	3	4	5	12	9	5	2	1	2	6	3	5	12	1	146
2018.4/4	서초구	계	4,212	707	642	482	154	300	105	31	117	96	84	33	104	535	35	54	59	39	7	14	13	4	28	1	24	50	16	12	15	4	9	26	37	3	15	5	9	28	76	13	1	9	12	16	10	6	1	20	10	8	4	-	-	-	3	5	6	5	-	110
2018.4/4	서초구	남자	2,109	312	322	281	63	115	35	13	19	61	55	19	69	298	6	21	39	26	6	12	4	4	9	1	19	29	4	10	6	1	6	22	18	2	6	5	8	12	47	8	-	2	8	8	4	1	1	13	6	6	3	-	-	-	1	3	4	3	-	53
2018.4/4	서초구	여자	2,103	395	320	201	91	185	70	18	98	35	29	14	35	237	29	33	20	13	1	2	9	-	19	-	5	21	12	2	9	3	3	4	19	1	9	-	1	16	29	5	1	7	4	8	6	5	-	7	4	2	1	-	-	-	2	2	2	2	-	57
2018.4/4	강남구	계	5,089	790	1,122	767	151	521	151	48	68	140	107	45	96	116	81	74	46	42	17	31	31	1	13	7	51	64	28	18	20	4	33	56	19	18	6	17	8	27	43	28	5	6	12	12	4	7	1	11	4	21	6	1	1	-	2	3	1	9	-	78
2018.4/4	강남구	남자	2,592	317	552	445	73	246	62	10	23	83	83	25	58	74	32	22	21	28	14	20	5	1	7	5	39	38	10	12	7	4	13	55	6	8	4	9	6	17	30	24	1	4	9	5	2	5	-	9	-	14	5	1	-	-	2	-	1	5	-	41
2018.4/4	강남구	여자	2,497	473	570	322	78	275	89	38	45	57	24	20	38	42	49	52	25	14	3	11	26	-	6	2	12	26	18	6	13	-	20	1	13	10	2	8	2	10	13	4	4	2	3	7	2	2	1	2	4	7	1	-	1	-	-	3	-	4	-	37
2018.4/4	송파구	계	6,872	3,488	1,099	413	130	329	292	88	86	90	78	48	45	32	52	43	24	28	14	5	26	-	6	7	47	81	13	11	14	6	12	47	11	11	5	12	1	10	6	-	7	5	4	67	-	1	-	2	1	6	1	-	4	-	2	1	-	12	1	48
2018.4/4	송파구	남자	3,323	1,827	430	233	54	119	88	41	23	54	52	21	30	18	21	14	9	13	7	3	7	-	3	5	23	41	3	10	1	5	6	47	6	5	1	6	1	8	5	-	1	3	3	27	-	1	-	2	-	6	1	-	2	-	2	-	-	9	1	25
2018.4/4	송파구	여자	3,549	1,661	669	180	76	210	204	47	63	36	26	27	15	14	31	29	15	15	7	2	19	-	3	2	24	40	10	1	13	1	6	-	5	6	4	6	-	2	1	-	6	2	1	40	-	-	-	-	1	-	-	-	2	-	-	1	-	3	-	23
2018.4/4	강동구	계	4,347	2,326	653	139	50	146	335	135	71	35	30	40	16	6	32	24	1	9	5	37	9	1	11	11	63	5	3	3	13	29	7	45	2	5	1	-	3	4	3	-	7	3	1	-	-	1	1	1	1	1	-	-	2	-	-	4	-	3	-	14
2018.4/4	강동구	남자	2,037	1,226	220	65	23	16	89	55	17	20	24	27	13	2	4	10	1	8	3	22	3	1	7	10	53	3	-	3	8	27	1	45	2	2	1	-	2	1	3	-	-	2	-	-	-	1	1	-	1	1	-	-	1	-	-	3	-	1	-	9
2018.4/4	강동구	여자	2,310	1,100	433	74	27	130	246	80	54	15	6	13	3	4	28	14	-	1	2	15	6	-	4	1	10	2	3	-	5	2	6	-	-	3	-	-	1	3	-	-	7	1	1	-	-	-	-	1	-	-	-	-	1	-	-	1	-	2	-	5
2019.1/4	합계	계	284,763	124,557	65,192	9,608	8,883	8,344	17,130	6,115	3,506	1,512	2,176	2,694	1,581	2,463	1,681	2,016	1,470	775	1,185	1,323	1,342	626	1,859	676	1,074	631	1,275	236	1,233	349	373	997	450	403	309	225	320	490	497	380	343	301	388	287	158	143	197	203	166	626	143	91	49	19	95	136	118	377	130	4,837
2019.1/4	합계	남자	137,253	70,518	23,025	5,058	3,978	2,485	6,357	2,398	936	982	1,453	1,567	990	1,266	515	717	777	453	784	992	508	476	1,064	485	581	374	259	176	405	260	215	744	170	217	158	149	162	262	257	221	102	144	213	116	99	61	153	114	47	528	78	58	24	8	45	56	59	232	73	2,649
2019.1/4	합계	여자	147,510	54,039	42,167	4,550	4,905	5,859	10,773	3,717	2,570	530	723	1,127	591	1,197	1,166	1,299	693	322	401	331	834	150	795	191	493	257	1,016	60	828	89	158	253	280	186	151	76	158	228	240	159	241	157	175	171	59	82	44	89	119	98	65	33	25	11	50	80	59	145	57	2,188
2019.1/4	종로구	계	10,135	1,798	3,680	270	276	297	1,629	93	110	28	67	54	81	146	31	55	61	122	435	23	45	4	28	14	14	28	61	7	22	12	47	16	31	15	44	11	9	23	12	14	9	18	20	5	9	5	3	13	6	4	19	5	-	9	26	3	7	5	2	254
2019.1/4	종로구	남자	4,427	854	1,209	173	104	124	807	36	34	19	49	27	54	80	11	19	27	66	291	17	9	2	10	7	6	12	8	7	6	7	29	9	17	9	23	8	2	18	1	7	5	12	10	3	7	1	3	8	1	2	11	3	-	4	16	1	2	3	-	137
2019.1/4	종로구	여자	5,708	944	2,471	97	172	173	822	57	76	9	18	27	27	66	20	36	34	56	144	6	36	2	18	7	8	16	53	-	16	5	18	7	14	6	21	3	7	5	11	7	4	6	10	2	2	4	-	5	5	2	8	2	-	5	10	2	5	2	2	117
2019.1/4	중구	계	9,894	2,069	2,575	291	598	246	1,182	280	88	58	114	540	79	65	34	402	109	25	21	54	32	2	23	4	14	33	35	14	213	29	3	19	33	4	10	5	12	24	10	17	41	13	17	38	6	1	6	4	5	11	4	1	1	2	10	9	8	7	-	344
2019.1/4	중구	남자	4,728	1,076	1,019	181	317	123	553	112	22	33	69	241	44	38	5	215	55	15	12	41	15	1	9	3	5	17	15	10	96	21	1	11	12	3	7	3	8	14	4	12	21	5	11	25	4	-	5	3	1	7	2	1	-	1	4	4	5	5	-	186
2019.1/4	중구	여자	5,166	993	1,556	110	281	123	629	168	66	25	45	299	35	27	29	187	54	10	9	13	17	1	14	1	9	16	20	4	117	8	2	8	21	1	3	2	4	10	6	5	20	8	6	13	2	1	1	1	4	4	2	-	1	1	6	5	3	2	-	158
2019.1/4	용산구	계	15,971	1,321	744	2,549	362	1,334	281	158	630	237	403	130	321	340	197	224	401	134	33	367	84	521	954	135	73	231	42	40	109	41	109	50	56	50	44	39	69	96	115	49	60	35	77	68	29	18	114	47	16	367	16	70	14	-	25	40	25	165	84	1,628
2019.1/4	용산구	남자	8,971	660	248	1,455	171	679	75	65	149	158	267	51	198	204	91	74	237	75	21	267	21	397	721	85	29	132	25	29	46	21	67	20	22	33	20	23	38	61	82	30	16	14	41	29	13	11	89	23	5	341	10	46	9	-	12	19	10	117	48	1,071
2019.1/4	용산구	여자	7,000	661	496	1,094	191	655	206	93	481	79	136	79	123	136	106	150	164	59	12	100	63	124	233	50	44	99	17	11	63	20	42	30	34	17	24	16	31	35	33	19	44	21	36	39	16	7	25	24	11	26	6	24	5	-	13	21	15	48	36	557
2019.1/4	성동구	계	8,204	2,526	2,540	245	177	171	729	301	183	48	88	77	28	54	62	31	75	19	47	128	73	6	67	42	25	7	38	5	10	18	5	52	12	8	13	2	17	15	20	13	12	11	22	7	12	5	18	7	3	4	4	-	1	2	-	-	7	4	1	107
2019.1/4	성동구	남자	3,724	1,281	900	142	75	35	251	117	102	37	58	58	17	27	22	11	48	12	43	88	54	4	43	37	9	4	9	5	1	18	2	44	5	6	11	1	11	8	8	5	2	7	12	-	10	1	14	5	2	3	2	-	-	-	-	-	5	1	1	50
2019.1/4	성동구	여자	4,480	1,245	1,640	103	102	136	478	184	81	11	30	19	11	27	40	20	27	7	4	40	19	2	24	5	16	3	29	-	9	-	3	8	7	2	2	1	6	7	12	8	10	4	10	7	2	4	4	2	1	1	2	-	1	2	-	-	2	3	-	57
2019.1/4	광진구	계	15,785	6,413	4,899	179	156	344	1,228	692	111	39	179	353	31	68	44	46	35	9	97	138	72	3	106	59	20	2	39	3	80	9	4	24	9	31	7	3	9	12	10	17	11	9	14	6	6	10	3	-	6	5	6	-	5	-	-	-	1	7	-	116
